#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
ABCC4	uc007uyv.2	8.23589576802943	7.54845509504672	7.54388212033853	7.03957833591089	7.44265429945508	8.41666248835084
ABCC6	uc009gya.1	7.58502059524506	7.58525305587329	8.4588625621043	7.16937514678353	7.6420585791724	7.44811386923097
ABCC8	uc009gye.1	6.84424477504545	6.36038276939655	6.84482205144584	3.51416790265092	3.66721183057703	4.56846961956225
ABCC9	uc009epm.1	8.01384903794865	7.93347656483008	9.49600644533893	8.29674249820401	7.51713361416226	10.0983040714392
ABCD1	uc009tml.1	9.12474682919479	9.34193546856508	9.52753137872076	9.15413932560592	9.34878936873674	9.53074473194715
ABCD2	uc007xhx.1	7.38593505983297	7.69252733061632	7.41114111038465	6.43764854093309	4.99110747587447	7.91631833931938
ABCD3	uc008reg.1	13.202794525116	13.2156537258592	13.0411396054067	13.2473002127214	13.2119910236552	13.2064066516205
ABCE1	uc009mit.1	11.2400027207859	11.0443260912097	10.6520613296452	10.8721506712903	10.9821994834764	11.1321685154436
ABCF2	uc008wsb.2	9.9135324719172	9.78078170851106	9.54077876689793	9.72231546737889	9.70227876266029	9.68089634271054
ABHD11	uc008zxh.2	10.4241855085271	10.5599426787473	10.2335598263168	10.291254434543	10.4116721555866	10.3517612993854
ABHD12B	uc011yni.1	0	0	0	0	0	0
ABHD13	uc012fzf.1	11.3982195268461	11.3581862148877	11.0436170233447	11.3375662430147	11.3851810536077	11.1980004907443
ABHD14B	uc009rjs.2	10.6461051552287	10.5184900874069	10.7935361899202	10.191677674561	10.4298816209181	10.6012504245446
